"","Province.State","Country.Region","Lat","Long","Date","count"
"73","Shaanxi","China",35.1917,108.8701,2020-01-22,0
"74","Shandong","China",36.3427,118.1498,2020-01-22,2
"75","Shanghai","China",31.202,121.4491,2020-01-22,9
"76","Shanxi","China",37.5777,112.2922,2020-01-22,1
"77","Sichuan","China",30.6171,102.7103,2020-01-22,5
"78","Tianjin","China",39.3054,117.323,2020-01-22,4
"79","Tibet","China",31.6927,88.0924,2020-01-22,0
"80","Xinjiang","China",41.1129,85.2401,2020-01-22,0
"81","Yunnan","China",24.974,101.487,2020-01-22,1
"82","Zhejiang","China",29.1832,120.0934,2020-01-22,10
"83","","Colombia",4.5709,-74.2973,2020-01-22,0
"84","","Congo (Brazzaville)",-0.228,15.8277,2020-01-22,0
"85","","Congo (Kinshasa)",-4.0383,21.7587,2020-01-22,0
"86","","Costa Rica",9.7489,-83.7534,2020-01-22,0
"87","","Cote d'Ivoire",7.54,-5.5471,2020-01-22,0
"88","","Croatia",45.1,15.2,2020-01-22,0
"89","","Diamond Princess",0,0,2020-01-22,0
"90","","Cuba",21.521757,-77.781167,2020-01-22,0
"91","","Cyprus",35.1264,33.4299,2020-01-22,0
"92","","Czechia",49.8175,15.473,2020-01-22,0
"93","Faroe Islands","Denmark",61.8926,-6.9118,2020-01-22,0
"94","Greenland","Denmark",71.7069,-42.6043,2020-01-22,0
"95","","Denmark",56.2639,9.5018,2020-01-22,0
"96","","Djibouti",11.8251,42.5903,2020-01-22,0
"97","","Dominican Republic",18.7357,-70.1627,2020-01-22,0
"98","","Ecuador",-1.8312,-78.1834,2020-01-22,0
"99","","Egypt",26.820553,30.802498,2020-01-22,0
"100","","El Salvador",13.7942,-88.8965,2020-01-22,0
"101","","Equatorial Guinea",1.6508,10.2679,2020-01-22,0
"102","","Eritrea",15.1794,39.7823,2020-01-22,0
"103","","Estonia",58.5953,25.0136,2020-01-22,0
"104","","Eswatini",-26.5225,31.4659,2020-01-22,0
"105","","Ethiopia",9.145,40.4897,2020-01-22,0
"106","","Fiji",-17.7134,178.065,2020-01-22,0
"107","","Finland",61.92411,25.748151,2020-01-22,0
"108","French Guiana","France",3.9339,-53.1258,2020-01-22,0
"109","French Polynesia","France",-17.6797,149.4068,2020-01-22,0
"110","Guadeloupe","France",16.265,-61.551,2020-01-22,0
"111","Mayotte","France",-12.8275,45.166244,2020-01-22,0
"112","New Caledonia","France",-20.904305,165.618042,2020-01-22,0
"113","Reunion","France",-21.1151,55.5364,2020-01-22,0
"114","Saint Barthelemy","France",17.9,-62.8333,2020-01-22,0
"115","St Martin","France",18.0708,-63.0501,2020-01-22,0
"116","Martinique","France",14.6415,-61.0242,2020-01-22,0
"117","","France",46.2276,2.2137,2020-01-22,0
"118","","Gabon",-0.8037,11.6094,2020-01-22,0
"119","","Gambia",13.4432,-15.3101,2020-01-22,0
"120","","Georgia",42.3154,43.3569,2020-01-22,0
"121","","Germany",51.165691,10.451526,2020-01-22,0
"122","","Ghana",7.9465,-1.0232,2020-01-22,0
"123","","Greece",39.0742,21.8243,2020-01-22,0
"124","","Guatemala",15.7835,-90.2308,2020-01-22,0
"125","","Guinea",9.9456,-9.6966,2020-01-22,0
"126","","Guyana",4.860416,-58.93018,2020-01-22,0
"127","","Haiti",18.9712,-72.2852,2020-01-22,0
"128","","Holy See",41.9029,12.4534,2020-01-22,0
"129","","Honduras",15.2,-86.2419,2020-01-22,0
"130","","Hungary",47.1625,19.5033,2020-01-22,0
"131","","Iceland",64.9631,-19.0208,2020-01-22,0
"132","","India",20.593684,78.96288,2020-01-22,0
"133","","Indonesia",-0.7893,113.9213,2020-01-22,0
"134","","Iran",32.427908,53.688046,2020-01-22,0
"135","","Iraq",33.223191,43.679291,2020-01-22,0
"136","","Ireland",53.1424,-7.6921,2020-01-22,0
"137","","Israel",31.046051,34.851612,2020-01-22,0
"138","","Italy",41.87194,12.56738,2020-01-22,0
"139","","Jamaica",18.1096,-77.2975,2020-01-22,0
"140","","Japan",36.204824,138.252924,2020-01-22,2
"141","","Jordan",31.24,36.51,2020-01-22,0
"142","","Kazakhstan",48.0196,66.9237,2020-01-22,0
"143","","Kenya",-0.0236,37.9062,2020-01-22,0
"144","","Korea, South",35.907757,127.766922,2020-01-22,1
"145","","Kuwait",29.31166,47.481766,2020-01-22,0
"146","","Kyrgyzstan",41.20438,74.766098,2020-01-22,0
"147","","Latvia",56.8796,24.6032,2020-01-22,0
"148","","Lebanon",33.8547,35.8623,2020-01-22,0
"149","","Liberia",6.428055,-9.429499,2020-01-22,0
"150","","Liechtenstein",47.14,9.55,2020-01-22,0
"151","","Lithuania",55.1694,23.8813,2020-01-22,0
"152","","Luxembourg",49.8153,6.1296,2020-01-22,0
"153","","Madagascar",-18.766947,46.869107,2020-01-22,0
"154","","Malaysia",4.210484,101.975766,2020-01-22,0
"155","","Maldives",3.2028,73.2207,2020-01-22,0
"156","","Malta",35.9375,14.3754,2020-01-22,0
"157","","Mauritania",21.0079,-10.9408,2020-01-22,0
"158","","Mauritius",-20.348404,57.552152,2020-01-22,0
"159","","Mexico",23.6345,-102.5528,2020-01-22,0
"160","","Moldova",47.4116,28.3699,2020-01-22,0
"161","","Monaco",43.7333,7.4167,2020-01-22,0
"162","","Mongolia",46.8625,103.8467,2020-01-22,0
"163","","Montenegro",42.708678,19.37439,2020-01-22,0
"164","","Morocco",31.7917,-7.0926,2020-01-22,0
"165","","Namibia",-22.9576,18.4904,2020-01-22,0
"166","","Nepal",28.1667,84.25,2020-01-22,0
"167","Aruba","Netherlands",12.5211,-69.9683,2020-01-22,0
"168","Curacao","Netherlands",12.1696,-68.99,2020-01-22,0
"169","Sint Maarten","Netherlands",18.0425,-63.0548,2020-01-22,0
"170","","Netherlands",52.1326,5.2913,2020-01-22,0
"171","","New Zealand",-40.9006,174.886,2020-01-22,0
"172","","Nicaragua",12.865416,-85.207229,2020-01-22,0
"173","","Niger",17.607789,8.081666,2020-01-22,0
"174","","Nigeria",9.082,8.6753,2020-01-22,0
"175","","North Macedonia",41.6086,21.7453,2020-01-22,0
"176","","Norway",60.472,8.4689,2020-01-22,0
"177","","Oman",21.512583,55.923255,2020-01-22,0
"178","","Pakistan",30.3753,69.3451,2020-01-22,0
"179","","Panama",8.538,-80.7821,2020-01-22,0
"180","","Papua New Guinea",-6.314993,143.95555,2020-01-22,0
"181","","Paraguay",-23.4425,-58.4438,2020-01-22,0
"182","","Peru",-9.19,-75.0152,2020-01-22,0
"183","","Philippines",12.879721,121.774017,2020-01-22,0
"184","","Poland",51.9194,19.1451,2020-01-22,0
"185","","Portugal",39.3999,-8.2245,2020-01-22,0
"186","","Qatar",25.3548,51.1839,2020-01-22,0
"187","","Romania",45.9432,24.9668,2020-01-22,0
"188","","Russia",61.52401,105.318756,2020-01-22,0
"189","","Rwanda",-1.9403,29.8739,2020-01-22,0
"190","","Saint Lucia",13.9094,-60.9789,2020-01-22,0
"191","","Saint Vincent and the Grenadines",12.9843,-61.2872,2020-01-22,0
"192","","San Marino",43.9424,12.4578,2020-01-22,0
"193","","Saudi Arabia",23.885942,45.079162,2020-01-22,0
"194","","Senegal",14.4974,-14.4524,2020-01-22,0
"195","","Serbia",44.0165,21.0059,2020-01-22,0
"196","","Seychelles",-4.6796,55.492,2020-01-22,0
"197","","Singapore",1.2833,103.8333,2020-01-22,0
"198","","Slovakia",48.669,19.699,2020-01-22,0
"199","","Slovenia",46.1512,14.9955,2020-01-22,0
"200","","Somalia",5.152149,46.199616,2020-01-22,0
"201","","South Africa",-30.5595,22.9375,2020-01-22,0
"202","","Spain",40.463667,-3.74922,2020-01-22,0
"203","","Sri Lanka",7.873054,80.771797,2020-01-22,0
"204","","Sudan",12.8628,30.2176,2020-01-22,0
"205","","Suriname",3.9193,-56.0278,2020-01-22,0
"206","","Sweden",60.128161,18.643501,2020-01-22,0
"207","","Switzerland",46.8182,8.2275,2020-01-22,0
"208","","Taiwan*",23.7,121,2020-01-22,1
"209","","Tanzania",-6.369028,34.888822,2020-01-22,0
"210","","Thailand",15.870032,100.992541,2020-01-22,2
"211","","Togo",8.6195,0.8248,2020-01-22,0
"212","","Trinidad and Tobago",10.6918,-61.2225,2020-01-22,0
"213","","Tunisia",33.886917,9.537499,2020-01-22,0
"214","","Turkey",38.9637,35.2433,2020-01-22,0
"215","","Uganda",1.373333,32.290275,2020-01-22,0
"216","","Ukraine",48.3794,31.1656,2020-01-22,0
"217","","United Arab Emirates",23.424076,53.847818,2020-01-22,0
"218","Bermuda","United Kingdom",32.3078,-64.7505,2020-01-22,0
"219","Cayman Islands","United Kingdom",19.3133,-81.2546,2020-01-22,0
"220","Channel Islands","United Kingdom",49.3723,-2.3644,2020-01-22,0
"221","Gibraltar","United Kingdom",36.1408,-5.3536,2020-01-22,0
"222","Isle of Man","United Kingdom",54.2361,-4.5481,2020-01-22,0
"223","Montserrat","United Kingdom",16.742498,-62.187366,2020-01-22,0
"224","","United Kingdom",55.3781,-3.436,2020-01-22,0
"225","","Uruguay",-32.5228,-55.7658,2020-01-22,0
"226","","US",40,-100,2020-01-22,1
"227","","Uzbekistan",41.377491,64.585262,2020-01-22,0
"228","","Venezuela",6.4238,-66.5897,2020-01-22,0
"229","","Vietnam",14.058324,108.277199,2020-01-22,0
"230","","Zambia",-13.133897,27.849332,2020-01-22,0
"231","","Zimbabwe",-19.015438,29.154857,2020-01-22,0
"232","Diamond Princess","Canada",0,0,2020-01-22,0
"233","","Dominica",15.415,-61.371,2020-01-22,0
"234","","Grenada",12.1165,-61.679,2020-01-22,0
"235","","Mozambique",-18.665695,35.529562,2020-01-22,0
"236","","Syria",34.802075,38.996815,2020-01-22,0
"237","","Timor-Leste",-8.874217,125.727539,2020-01-22,0
"238","","Belize",17.1899,-88.4976,2020-01-22,0
"239","","Laos",19.85627,102.495496,2020-01-22,0
"240","","Libya",26.3351,17.228331,2020-01-22,0
"241","","West Bank and Gaza",31.9522,35.2332,2020-01-22,0
"242","","Guinea-Bissau",11.8037,-15.1804,2020-01-22,0
"243","","Mali",17.570692,-3.996166,2020-01-22,0
"244","","Saint Kitts and Nevis",17.357822,-62.782998,2020-01-22,0
"245","Northwest Territories","Canada",64.8255,-124.8457,2020-01-22,0
"246","Yukon","Canada",64.2823,-135,2020-01-22,0
"247","","Kosovo",42.602636,20.902977,2020-01-22,0
"248","","Burma",21.9162,95.956,2020-01-22,0
"249","Anguilla","United Kingdom",18.2206,-63.0686,2020-01-22,0
"250","British Virgin Islands","United Kingdom",18.4207,-64.64,2020-01-22,0
"251","Turks and Caicos Islands","United Kingdom",21.694,-71.7979,2020-01-22,0
"252","","MS Zaandam",0,0,2020-01-22,0
"253","","Botswana",-22.3285,24.6849,2020-01-22,0
"254","","Burundi",-3.3731,29.9189,2020-01-22,0
"255","","Sierra Leone",8.460555,-11.779889,2020-01-22,0
"256","Bonaire, Sint Eustatius and Saba","Netherlands",12.1784,-68.2385,2020-01-22,0
"257","","Malawi",-13.2543,34.3015,2020-01-22,0
"258","Falkland Islands (Malvinas)","United Kingdom",-51.7963,-59.5236,2020-01-22,0
"259","Saint Pierre and Miquelon","France",46.8852,-56.3159,2020-01-22,0
"260","","South Sudan",6.877,31.307,2020-01-22,0
"261","","Western Sahara",24.2155,-12.8858,2020-01-22,0
"262","","Sao Tome and Principe",0.1864,6.6131,2020-01-22,0
"263","","Yemen",15.552727,48.516388,2020-01-22,0
"264","","Comoros",-11.6455,43.3333,2020-01-22,0
"265","","Tajikistan",38.861,71.2761,2020-01-22,0
"266","","Lesotho",-29.61,28.2336,2020-01-22,0
"267","","Afghanistan",33.93911,67.709953,2020-01-23,0
"268","","Albania",41.1533,20.1683,2020-01-23,0
"269","","Algeria",28.0339,1.6596,2020-01-23,0
"270","","Andorra",42.5063,1.5218,2020-01-23,0
"271","","Angola",-11.2027,17.8739,2020-01-23,0
"272","","Antigua and Barbuda",17.0608,-61.7964,2020-01-23,0
"273","","Argentina",-38.4161,-63.6167,2020-01-23,0
"274","","Armenia",40.0691,45.0382,2020-01-23,0
"275","Australian Capital Territory","Australia",-35.4735,149.0124,2020-01-23,0
"276","New South Wales","Australia",-33.8688,151.2093,2020-01-23,0
"277","Northern Territory","Australia",-12.4634,130.8456,2020-01-23,0
"278","Queensland","Australia",-27.4698,153.0251,2020-01-23,0
"279","South Australia","Australia",-34.9285,138.6007,2020-01-23,0
"280","Tasmania","Australia",-42.8821,147.3272,2020-01-23,0
"281","Victoria","Australia",-37.8136,144.9631,2020-01-23,0
"282","Western Australia","Australia",-31.9505,115.8605,2020-01-23,0
"283","","Austria",47.5162,14.5501,2020-01-23,0
"284","","Azerbaijan",40.1431,47.5769,2020-01-23,0
"285","","Bahamas",25.025885,-78.035889,2020-01-23,0
"286","","Bahrain",26.0275,50.55,2020-01-23,0
"287","","Bangladesh",23.685,90.3563,2020-01-23,0
"288","","Barbados",13.1939,-59.5432,2020-01-23,0
"289","","Belarus",53.7098,27.9534,2020-01-23,0
"290","","Belgium",50.8333,4.469936,2020-01-23,0
"291","","Benin",9.3077,2.3158,2020-01-23,0
"292","","Bhutan",27.5142,90.4336,2020-01-23,0
"293","","Bolivia",-16.2902,-63.5887,2020-01-23,0
"294","","Bosnia and Herzegovina",43.9159,17.6791,2020-01-23,0
"295","","Brazil",-14.235,-51.9253,2020-01-23,0
"296","","Brunei",4.5353,114.7277,2020-01-23,0
"297","","Bulgaria",42.7339,25.4858,2020-01-23,0
"298","","Burkina Faso",12.2383,-1.5616,2020-01-23,0
"299","","Cabo Verde",16.5388,-23.0418,2020-01-23,0
"300","","Cambodia",11.55,104.9167,2020-01-23,0
"301","","Cameroon",3.848,11.5021,2020-01-23,0
"302","Alberta","Canada",53.9333,-116.5765,2020-01-23,0
"303","British Columbia","Canada",53.7267,-127.6476,2020-01-23,0
"304","Grand Princess","Canada",0,0,2020-01-23,0
"305","Manitoba","Canada",53.7609,-98.8139,2020-01-23,0
"306","New Brunswick","Canada",46.5653,-66.4619,2020-01-23,0
"307","Newfoundland and Labrador","Canada",53.1355,-57.6604,2020-01-23,0
"308","Nova Scotia","Canada",44.682,-63.7443,2020-01-23,0
"309","Ontario","Canada",51.2538,-85.3232,2020-01-23,0
"310","Prince Edward Island","Canada",46.5107,-63.4168,2020-01-23,0
"311","Quebec","Canada",52.9399,-73.5491,2020-01-23,0
"312","Saskatchewan","Canada",52.9399,-106.4509,2020-01-23,0
"313","","Central African Republic",6.6111,20.9394,2020-01-23,0
"314","","Chad",15.4542,18.7322,2020-01-23,0
"315","","Chile",-35.6751,-71.543,2020-01-23,0
"316","Anhui","China",31.8257,117.2264,2020-01-23,9
"317","Beijing","China",40.1824,116.4142,2020-01-23,22
"318","Chongqing","China",30.0572,107.874,2020-01-23,9
"319","Fujian","China",26.0789,117.9874,2020-01-23,5
"320","Gansu","China",35.7518,104.2861,2020-01-23,2
"321","Guangdong","China",23.3417,113.4244,2020-01-23,32
"322","Guangxi","China",23.8298,108.7881,2020-01-23,5
"323","Guizhou","China",26.8154,106.8748,2020-01-23,3
"324","Hainan","China",19.1959,109.7453,2020-01-23,5
"325","Hebei","China",39.549,116.1306,2020-01-23,1
"326","Heilongjiang","China",47.862,127.7615,2020-01-23,2
"327","Henan","China",37.8957,114.9042,2020-01-23,5
"328","Hong Kong","China",22.3,114.2,2020-01-23,2
"329","Hubei","China",30.9756,112.2707,2020-01-23,444
"330","Hunan","China",27.6104,111.7088,2020-01-23,9
"331","Inner Mongolia","China",44.0935,113.9448,2020-01-23,0
"332","Jiangsu","China",32.9711,119.455,2020-01-23,5
"333","Jiangxi","China",27.614,115.7221,2020-01-23,7
"334","Jilin","China",43.6661,126.1923,2020-01-23,1
"335","Liaoning","China",41.2956,122.6085,2020-01-23,3
"336","Macau","China",22.1667,113.55,2020-01-23,2
"337","Ningxia","China",37.2692,106.1655,2020-01-23,1
"338","Qinghai","China",35.7452,95.9956,2020-01-23,0
"339","Shaanxi","China",35.1917,108.8701,2020-01-23,3
"340","Shandong","China",36.3427,118.1498,2020-01-23,6
"341","Shanghai","China",31.202,121.4491,2020-01-23,16
"342","Shanxi","China",37.5777,112.2922,2020-01-23,1
"343","Sichuan","China",30.6171,102.7103,2020-01-23,8
"344","Tianjin","China",39.3054,117.323,2020-01-23,4
"345","Tibet","China",31.6927,88.0924,2020-01-23,0
"346","Xinjiang","China",41.1129,85.2401,2020-01-23,2
"347","Yunnan","China",24.974,101.487,2020-01-23,2
"348","Zhejiang","China",29.1832,120.0934,2020-01-23,27
"349","","Colombia",4.5709,-74.2973,2020-01-23,0
"350","","Congo (Brazzaville)",-0.228,15.8277,2020-01-23,0
"351","","Congo (Kinshasa)",-4.0383,21.7587,2020-01-23,0
"352","","Costa Rica",9.7489,-83.7534,2020-01-23,0
"353","","Cote d'Ivoire",7.54,-5.5471,2020-01-23,0
"354","","Croatia",45.1,15.2,2020-01-23,0
"355","","Diamond Princess",0,0,2020-01-23,0
"356","","Cuba",21.521757,-77.781167,2020-01-23,0
"357","","Cyprus",35.1264,33.4299,2020-01-23,0
"358","","Czechia",49.8175,15.473,2020-01-23,0
"359","Faroe Islands","Denmark",61.8926,-6.9118,2020-01-23,0
"360","Greenland","Denmark",71.7069,-42.6043,2020-01-23,0
"361","","Denmark",56.2639,9.5018,2020-01-23,0
"362","","Djibouti",11.8251,42.5903,2020-01-23,0
"363","","Dominican Republic",18.7357,-70.1627,2020-01-23,0
"364","","Ecuador",-1.8312,-78.1834,2020-01-23,0
"365","","Egypt",26.820553,30.802498,2020-01-23,0
"366","","El Salvador",13.7942,-88.8965,2020-01-23,0
"367","","Equatorial Guinea",1.6508,10.2679,2020-01-23,0
"368","","Eritrea",15.1794,39.7823,2020-01-23,0
"369","","Estonia",58.5953,25.0136,2020-01-23,0
"370","","Eswatini",-26.5225,31.4659,2020-01-23,0
"371","","Ethiopia",9.145,40.4897,2020-01-23,0
"372","","Fiji",-17.7134,178.065,2020-01-23,0
"373","","Finland",61.92411,25.748151,2020-01-23,0
"374","French Guiana","France",3.9339,-53.1258,2020-01-23,0
"375","French Polynesia","France",-17.6797,149.4068,2020-01-23,0
"376","Guadeloupe","France",16.265,-61.551,2020-01-23,0
"377","Mayotte","France",-12.8275,45.166244,2020-01-23,0
"378","New Caledonia","France",-20.904305,165.618042,2020-01-23,0
"379","Reunion","France",-21.1151,55.5364,2020-01-23,0
"380","Saint Barthelemy","France",17.9,-62.8333,2020-01-23,0
"381","St Martin","France",18.0708,-63.0501,2020-01-23,0
"382","Martinique","France",14.6415,-61.0242,2020-01-23,0
"383","","France",46.2276,2.2137,2020-01-23,0
"384","","Gabon",-0.8037,11.6094,2020-01-23,0
"385","","Gambia",13.4432,-15.3101,2020-01-23,0
"386","","Georgia",42.3154,43.3569,2020-01-23,0
"387","","Germany",51.165691,10.451526,2020-01-23,0
"388","","Ghana",7.9465,-1.0232,2020-01-23,0
"389","","Greece",39.0742,21.8243,2020-01-23,0
"390","","Guatemala",15.7835,-90.2308,2020-01-23,0
"391","","Guinea",9.9456,-9.6966,2020-01-23,0
"392","","Guyana",4.860416,-58.93018,2020-01-23,0
"393","","Haiti",18.9712,-72.2852,2020-01-23,0
"394","","Holy See",41.9029,12.4534,2020-01-23,0
"395","","Honduras",15.2,-86.2419,2020-01-23,0
"396","","Hungary",47.1625,19.5033,2020-01-23,0
"397","","Iceland",64.9631,-19.0208,2020-01-23,0
"398","","India",20.593684,78.96288,2020-01-23,0
"399","","Indonesia",-0.7893,113.9213,2020-01-23,0
"400","","Iran",32.427908,53.688046,2020-01-23,0
"401","","Iraq",33.223191,43.679291,2020-01-23,0
"402","","Ireland",53.1424,-7.6921,2020-01-23,0
"403","","Israel",31.046051,34.851612,2020-01-23,0
"404","","Italy",41.87194,12.56738,2020-01-23,0
"405","","Jamaica",18.1096,-77.2975,2020-01-23,0
"406","","Japan",36.204824,138.252924,2020-01-23,2
"407","","Jordan",31.24,36.51,2020-01-23,0
"408","","Kazakhstan",48.0196,66.9237,2020-01-23,0
"409","","Kenya",-0.0236,37.9062,2020-01-23,0
"410","","Korea, South",35.907757,127.766922,2020-01-23,1
"411","","Kuwait",29.31166,47.481766,2020-01-23,0
"412","","Kyrgyzstan",41.20438,74.766098,2020-01-23,0
"413","","Latvia",56.8796,24.6032,2020-01-23,0
"414","","Lebanon",33.8547,35.8623,2020-01-23,0
"415","","Liberia",6.428055,-9.429499,2020-01-23,0
"416","","Liechtenstein",47.14,9.55,2020-01-23,0
"417","","Lithuania",55.1694,23.8813,2020-01-23,0
"418","","Luxembourg",49.8153,6.1296,2020-01-23,0
"419","","Madagascar",-18.766947,46.869107,2020-01-23,0
"420","","Malaysia",4.210484,101.975766,2020-01-23,0
"421","","Maldives",3.2028,73.2207,2020-01-23,0
"422","","Malta",35.9375,14.3754,2020-01-23,0
"423","","Mauritania",21.0079,-10.9408,2020-01-23,0
"424","","Mauritius",-20.348404,57.552152,2020-01-23,0
"425","","Mexico",23.6345,-102.5528,2020-01-23,0
"426","","Moldova",47.4116,28.3699,2020-01-23,0
"427","","Monaco",43.7333,7.4167,2020-01-23,0
"428","","Mongolia",46.8625,103.8467,2020-01-23,0
"429","","Montenegro",42.708678,19.37439,2020-01-23,0
"430","","Morocco",31.7917,-7.0926,2020-01-23,0
"431","","Namibia",-22.9576,18.4904,2020-01-23,0
"432","","Nepal",28.1667,84.25,2020-01-23,0
"433","Aruba","Netherlands",12.5211,-69.9683,2020-01-23,0
"434","Curacao","Netherlands",12.1696,-68.99,2020-01-23,0
"435","Sint Maarten","Netherlands",18.0425,-63.0548,2020-01-23,0
"436","","Netherlands",52.1326,5.2913,2020-01-23,0
"437","","New Zealand",-40.9006,174.886,2020-01-23,0
"438","","Nicaragua",12.865416,-85.207229,2020-01-23,0
"439","","Niger",17.607789,8.081666,2020-01-23,0
"440","","Nigeria",9.082,8.6753,2020-01-23,0
"441","","North Macedonia",41.6086,21.7453,2020-01-23,0
"442","","Norway",60.472,8.4689,2020-01-23,0
"443","","Oman",21.512583,55.923255,2020-01-23,0
"444","","Pakistan",30.3753,69.3451,2020-01-23,0
"445","","Panama",8.538,-80.7821,2020-01-23,0
"446","","Papua New Guinea",-6.314993,143.95555,2020-01-23,0
"447","","Paraguay",-23.4425,-58.4438,2020-01-23,0
"448","","Peru",-9.19,-75.0152,2020-01-23,0
"449","","Philippines",12.879721,121.774017,2020-01-23,0
"450","","Poland",51.9194,19.1451,2020-01-23,0
"451","","Portugal",39.3999,-8.2245,2020-01-23,0
"452","","Qatar",25.3548,51.1839,2020-01-23,0
"453","","Romania",45.9432,24.9668,2020-01-23,0
"454","","Russia",61.52401,105.318756,2020-01-23,0
"455","","Rwanda",-1.9403,29.8739,2020-01-23,0
"456","","Saint Lucia",13.9094,-60.9789,2020-01-23,0
"457","","Saint Vincent and the Grenadines",12.9843,-61.2872,2020-01-23,0
"458","","San Marino",43.9424,12.4578,2020-01-23,0
"459","","Saudi Arabia",23.885942,45.079162,2020-01-23,0
"460","","Senegal",14.4974,-14.4524,2020-01-23,0
"461","","Serbia",44.0165,21.0059,2020-01-23,0
"462","","Seychelles",-4.6796,55.492,2020-01-23,0
"463","","Singapore",1.2833,103.8333,2020-01-23,1
"464","","Slovakia",48.669,19.699,2020-01-23,0
"465","","Slovenia",46.1512,14.9955,2020-01-23,0
